NO,COUNTY,SITE_NAME,PM 10  (μg/m 3 ),PM 2.5  (μg/m 3 ),long,lat,group
1,臺北市,松山,27,12,121.578611,25.05,1
2,臺北市,古亭,30,16,121.529556,25.020608,1
3,臺北市,中山,30,13,121.526528,25.062361,1
4,臺北市,大同,36,13,121.513311,25.0632,1
5,臺北市,萬華,26,12,121.507972,25.046503,1
6,臺北市,陽明,12,6,121.529583,25.182722,1
7,臺北市,士林,25,12,121.515389,25.105417,1
8,新北市,板橋,29,16,121.458667,25.012972,2
9,新北市,三重,43,12,121.493806,25.072611,2
10,新北市,菜寮,29,10,121.481028,25.06895,2
11,新北市,永和,23,12,121.516306,25.017,2
12,新北市,新莊,28,11,121.4325,25.037972,2
13,新北市,新店,23,11,121.537778,24.977222,2
14,新北市,淡水,24,12,121.449239,25.1645,2
15,新北市,汐止,21,10,121.6423,25.067131,2
16,新北市,土城,28,18,121.451861,24.982528,2
17,新北市,林口,34,10,121.376869,25.077197,2
19,新北市,萬里,40,12,121.689881,25.179667,2
20,臺中市,西屯,47,24,120.616917,24.162197,3
21,臺中市,忠明,41,23,120.641092,24.151958,3
22,臺中市,豐原,39,20,120.741711,24.256586,3
23,臺中市,沙鹿,39,21,120.568794,24.225628,3
24,臺中市,大里,51,18,120.677689,24.099611,3
25,臺南市,新營,69,38,120.31725,23.305633,4
26,臺南市,善化,68,32,120.297142,23.115097,4
27,臺南市,安南,74,31,120.2175,23.048197,4
28,臺南市,臺南,69,31,120.202617,22.984581,4
29,高雄市,左營,72,30,120.292917,22.674861,5
30,高雄市,楠梓,76,40,120.328289,22.733667,5
31,高雄市,前金,70,35,120.288086,22.632567,5
32,高雄市,前鎮,73,34,120.307564,22.605386,5
33,高雄市,復興,71,32,120.312017,22.608711,5
34,高雄市,小港,69,32,120.337736,22.565833,5
35,高雄市,鳳山,69,35,120.358083,22.627392,5
36,高雄市,林園,76,38,120.41175,22.4795,5
37,高雄市,大寮,67,38,120.425081,22.565747,55
38,高雄市,仁武,71,31,120.332631,22.689056,5
39,高雄市,橋頭,72,46,120.305689,22.757506,5
40,高雄市,美濃,58,24,120.530542,22.883583,5
41,基隆市,基隆,24,10,121.760056,25.129167,6
42,新竹市,新竹,36,21,120.972075,24.805619,7
43,嘉義市,嘉義,68,32,120.440833,23.462778,8
44,宜蘭縣,宜蘭,21,9,121.746394,24.747917,9
45,宜蘭縣,冬山,21,7,121.792928,24.632203,9
46,桃園市,桃園,30,15,121.319964,24.994789,10
47,桃園市,中壢,38,10,121.221667,24.953278,10
48,桃園市,大園,31,14,121.201811,25.060344,10
49,桃園市,龍潭,33,18,121.21635,24.863869,10
50,桃園市,平鎮,35,16,121.203986,24.952786,10
51,桃園市,觀音,36,20,121.082761,25.035503,10
52,新竹縣,竹東,29,14,121.088903,24.740644,11
53,新竹縣,湖口,36,17,121.038653,24.900142,11
54,苗栗縣,苗栗,44,22,120.8202,24.565269,12
55,苗栗縣,頭份,35,19,120.898572,24.696969,12
56,苗栗縣,三義,33,22,120.758833,24.382942,12
57,彰化縣,彰化,42,21,120.541519,24.066,13
58,彰化縣,線西,46,22,120.469061,24.131672,13
59,彰化縣,二林,61,24,120.409653,23.925175,13
60,南投縣,南投,56,27,120.685306,23.913,14
61,南投縣,埔里,43,22,120.967903,23.968842,14
62,南投縣,竹山,54,34,120.677306,23.756389,14
63,雲林縣,斗六,63,35,120.544994,23.711853,15
64,雲林縣,麥寮,70,29,120.251825,23.753506,15
65,雲林縣,臺西,50,22,120.202842,23.717533,15
66,嘉義縣,朴子,69,27,120.24735,23.465308,16
67,嘉義縣,新港,67,31,120.345531,23.554839,16
68,屏東縣,屏東,66,36,120.488033,22.673081,17
69,屏東縣,潮州,69,33,120.561175,22.523108,17
70,屏東縣,恆春,10,6,120.788928,21.958069,17
71,臺東縣,臺東,17,4,121.15045,22.755358,18
72,臺東縣,關山,20,9,121.161933,23.045083,18
73,花蓮縣,花蓮,22,4,121.599769,23.971306,19
74,澎湖縣,馬公,29,14,119.566158,23.569031,20
75,金門縣,金門,46,23,118.312256,24.432133,21
76,連江縣,馬祖,38,19,119.949875,26.160469,22